year,month,day,region,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2020,12,28,va,1081777,390456,488762,305625
2020,12,29,va,1090624,391855,488009,306272
2020,12,30,va,1113281,389193,487625,304360
2020,12,31,va,1109811,389266,489323,307254
2021,1,1,va,872457,387035,472293,317311
2021,1,2,va,1116646,401622,501724,314927
2021,1,3,va,949261,397873,492150,323554
2021,1,4,va,1045242,376377,484115,303904
2021,1,5,va,1082884,408678,510812,328469
2021,1,6,va,1130146,428556,539727,344684
2021,1,7,va,1136971,421853,533907,341131
2021,1,8,va,1150307,413947,524447,335295
2021,1,9,va,1171219,411874,527599,332393
2021,1,10,va,1004014,394010,517663,328574
2021,1,11,va,1062805,398364,513108,324687
2021,1,12,va,1069343,401871,508896,325596
2021,1,13,va,1092209,399714,515306,323653
2021,1,14,va,1083575,393203,505852,318457
2021,1,15,va,1151166,394840,505921,314763
2021,1,16,va,1119649,389278,495071,310887
2021,1,17,va,995330,379221,497885,314924
2021,1,18,va,1056263,380220,505355,314868
2021,1,19,va,1053609,376999,495842,311100
2021,1,20,va,1018887,369326,475160,304366
2021,1,21,va,1063312,378713,505171,313173
2021,1,22,va,1120624,364398,482665,295386
2021,1,23,va,1098881,370546,486310,301619
2021,1,24,va,948178,365737,486894,307397
2021,1,25,va,1004105,375213,499336,313000
2021,1,26,va,1060503,417529,525905,347144
2021,1,27,va,1109073,407340,524250,330049
2021,1,28,va,948790,351697,451113,289158
2021,1,29,va,1119991,371239,472035,291060
2021,1,30,va,1183649,378315,489576,293134
2021,1,31,va,701194,359859,415420,296726
2021,2,1,va,867852,353705,444360,294270
2021,2,2,va,928263,339134,439540,280573
2021,2,3,va,1047831,372525,474666,301095
2021,2,4,va,1109694,383280,487418,301363
2021,2,5,va,1168924,386779,497928,310773
2021,2,6,va,1201271,378188,509341,305080
2021,2,7,va,830292,368443,461384,313636
2021,2,8,va,1060729,383596,506103,314839
2021,2,9,va,1089975,381170,503792,312808
2021,2,10,va,1087105,372138,495697,305475
2021,2,11,va,1040280,373740,487642,309826
2021,2,12,va,1063740,377375,472776,304065
2021,2,13,va,933152,366457,443819,299994
2021,2,14,va,975943,360339,463983,297715
2021,2,15,va,1052623,365963,488668,302857
2021,2,16,va,1113293,378876,505113,311747
2021,2,17,va,1227041,391668,520519,318149
2021,2,18,va,762966,368741,427884,311459
2021,2,19,va,1073668,367612,463213,298125
2021,2,20,va,1184786,369626,486204,296902
2021,2,21,va,1045018,376685,500419,310623
2021,2,22,va,1042101,360654,477721,299063
2021,2,23,va,1133255,370763,494247,300387
2021,2,24,va,1155818,356238,486405,286998
2021,2,25,va,1148429,351585,472237,280900
2021,2,26,va,1220559,366327,479909,286733
2021,2,27,va,1171167,338835,442668,264095
2021,2,28,va,973292,337259,448381,277210
2021,3,1,va,1110360,362046,489286,294886
2021,3,2,va,1034565,335789,407015,260696
2021,3,3,va,967499,341796,426579,278852
2021,3,4,va,1158220,347371,471691,278734
2021,3,5,va,1229275,351410,465298,275333
2021,3,6,va,1210299,337086,451333,262500
2021,3,7,va,1021248,314813,449491,260936
2021,3,8,va,1150460,364112,505623,305326
2021,3,9,va,1179436,367212,512768,305808
2021,3,10,va,1187738,356837,501532,296109
2021,3,11,va,1221677,364975,512439,300980
2021,3,12,va,1286261,364242,496668,292191
2021,3,13,va,1183254,358663,465441,283153
2021,3,14,va,1135459,364691,526730,301999
2021,3,15,va,1185070,367841,531391,306559
2021,3,16,va,1187025,369678,526123,308381
2021,3,17,va,1221368,359008,517963,298294
2021,3,18,va,1170015,360429,506842,297341
2021,3,19,va,1281298,364397,497288,290244
2021,3,20,va,1295484,355085,492131,280094
2021,3,21,va,1143396,359046,521226,297786
2021,3,22,va,1196862,363220,528399,302092
2021,3,23,va,1196644,367149,526345,303039
2021,3,24,va,1175760,370842,517153,302374
2021,3,25,va,1213222,364686,513273,294859
2021,3,26,va,1319495,366985,504668,283877
2021,3,27,va,1262337,355989,478420,268179
2021,3,28,va,1089614,376189,504212,301219
2021,3,29,va,1185177,366974,505431,292846
2021,3,30,va,1229418,371661,510523,295471
2021,3,31,va,1177807,366302,485282,288349
2021,4,1,va,1225281,371269,490324,288387
2021,4,2,va,1309012,368645,471211,273794
2021,4,3,va,1281564,363725,465755,268880
2021,4,4,va,941873,344346,456607,271802
